Cluster ID,Size (voxels),x,y,z,Peak Z,Harvard-Oxford Label
17,179,19.76,34.23,40.06,8.521218419383116,Insular Cortex
13,147,-17.44,-3.4,27.89,7.737132504404644,Background
19,187,-50.03,-81.62,69.35,7.257885403693304,Background
18,42,-1.74,-90.95,39.57,6.647540540468621,Supracalcarine Cortex
21,36,-12.19,40.49,38.5,6.359976054772948,Background
20,35,-6.5,-24.93,37.21,6.217627456585145,"Cingulate Gyrus, anterior division"
23,92,-5.36,59.7,63.41,6.111572126212397,Background
27,114,-31.74,53.25,90.21,5.978706690681093,Background
16,42,-32.93,-101.37,38.71,5.7192970089221715,Background
5,183,-53.49,-79.08,-3.63,5.518985625729985,"Lateral Occipital Cortex, superior division"
2,1012,18.05,-25.16,-10.15,-3.621811636724909,"Parahippocampal Gyrus, anterior division"
10,39,-47.4,-16.09,6.65,-3.621860230731602,Planum Polare
12,756,12.08,4.41,34.06,-3.622010988869167,Paracingulate Gyrus
24,670,18.93,-26.74,87.0,-3.6220902038708496,Background
7,266,8.89,-72.66,7.68,-3.62245106375119,"Lateral Occipital Cortex, inferior division"
3,34,-42.24,-56.47,-28.12,-3.6226599280221152,"Temporal Fusiform Cortex, posterior division"
28,133,-14.02,3.35,110.57,-3.6227391230277233,Out of bounds
11,722,-22.54,-55.37,35.74,-3.623554658096583,Postcentral Gyrus
6,96,-14.62,-22.92,-14.41,-3.626535927072774,Background
1,75,-7.7,4.2,-36.18,-3.627111222569507,Background
22,25,21.1,-65.1,47.02,-3.6273442979967503,Angular Gyrus
4,172,-28.3,19.4,-7.58,-3.6392687024206594,Frontal Pole
14,49,-28.8,-21.28,25.09,-3.6413342627970424,Background
15,151,-39.46,47.86,34.19,-3.6425496543752685,Background
25,41,-29.55,26.65,74.5,-3.647239392683657,Background
26,77,-14.0,-21.88,92.66,-3.6476028850122324,Background
9,28,-45.34,-36.16,6.68,-3.680015216296268,Heschl's Gyrus (includes H1 and H2)
8,37,-2.99,37.57,-2.2,-3.693405669784574,Paracingulate Gyrus
