Cluster ID,Size (voxels),x,y,z,Peak Z,Harvard-Oxford Label
8,2410,9.69,13.18,37.6,12.435755674873722,Subcallosal Cortex
2,2873,-3.98,-10.42,-14.04,11.988935600091983,Background
15,961,-30.48,18.7,88.61,10.878572193455515,Background
9,508,-30.06,-18.9,32.38,10.460047781565317,Background
5,432,-8.14,47.01,-1.3,8.938725657630876,Subcallosal Cortex
7,2153,-28.5,-67.7,46.0,8.673460526596827,Angular Gyrus
14,430,-8.99,47.62,76.86,8.243675243260096,Background
1,147,-4.36,-45.58,-35.32,7.636667175541409,Background
4,160,-55.69,-54.67,-9.39,7.166393512515011,"Middle Temporal Gyrus, posterior division"
19,432,-11.56,-41.96,110.32,6.986136809165325,Out of bounds
17,52,-64.1,4.18,89.9,5.968655094816849,Background
12,74,-7.38,-23.78,37.32,5.895148173115958,"Cingulate Gyrus, anterior division"
16,51,10.9,3.33,88.38,5.521701287375632,Background
10,25,5.1,-24.9,25.18,5.190201407052505,"Cingulate Gyrus, anterior division"
11,56,-64.49,-26.92,34.16,5.045793640836132,Superior Parietal Lobule
6,73,9.22,17.19,4.72,-3.6236263104782305,Background
3,194,0.91,-76.49,-10.2,-3.6247496896880795,"Parahippocampal Gyrus, posterior division"
13,89,-40.29,50.22,37.25,-3.6364960854356783,Background
20,45,-47.67,-7.94,112.43,-3.6415124384663113,Out of bounds
18,44,-7.52,-64.38,97.2,-3.6573147824058667,Background
