Subject ID,movie,engagement,salience
Sub-002,shrek,8,high
Sub-002,office,9,high
Sub-002,sherlock,6,high
Sub-002,brushing,6,low
Sub-002,origami,7,low
Sub-002,cake,8,low
Sub-003,shrek,10,high
Sub-003,office,10,high
Sub-003,sherlock,6,high
Sub-003,brushing,2,low
Sub-003,origami,5,low
Sub-003,cake,9,low
Sub-004,shrek,8,high
Sub-004,office,9,high
Sub-004,sherlock,9,high
Sub-004,brushing,6,low
Sub-004,origami,2,low
Sub-004,cake,3,low
Sub-005,shrek,8,high
Sub-005,office,8,high
Sub-005,sherlock,4,high
Sub-005,brushing,4,low
Sub-005,origami,1,low
Sub-005,cake,6,low
Sub-006,shrek,7,high
Sub-006,office,9,high
Sub-006,sherlock,3,high
Sub-006,brushing,6,low
Sub-006,origami,6,low
Sub-006,cake,4,low
Sub-007,shrek,10,high
Sub-007,office,10,high
Sub-007,sherlock,8,high
Sub-007,brushing,5,low
Sub-007,origami,2,low
Sub-007,cake,5,low
Sub-008,shrek,9,high
Sub-008,office,10,high
Sub-008,sherlock,10,high
Sub-008,brushing,2,low
Sub-008,origami,1,low
Sub-008,cake,2,low
Sub-009,shrek,6,high
Sub-009,office,9,high
Sub-009,sherlock,10,high
Sub-009,brushing,2,low
Sub-009,origami,3,low
Sub-009,cake,4,low
Sub-010,shrek,9,high
Sub-010,office,9,high
Sub-010,sherlock,10,high
Sub-010,brushing,4,low
Sub-010,origami,8,low
Sub-010,cake,4,low
Sub-011,shrek,7,high
Sub-011,office,9,high
Sub-011,sherlock,8,high
Sub-011,brushing,6,low
Sub-011,origami,2,low
Sub-011,cake,5,low
Sub-012,shrek,9,high
Sub-012,office,9,high
Sub-012,sherlock,8,high
Sub-012,brushing,2,low
Sub-012,origami,4,low
Sub-012,cake,5,low
Sub-013,shrek,5,high
Sub-013,office,8,high
Sub-013,sherlock,7,high
Sub-013,brushing,3,low
Sub-013,origami,7,low
Sub-013,cake,1,low
Sub-014,shrek,5,high
Sub-014,office,10,high
Sub-014,sherlock,4,high
Sub-014,brushing,8,low
Sub-014,origami,4,low
Sub-014,cake,7,low
Sub-015,shrek,8,high
Sub-015,office,10,high
Sub-015,sherlock,7,high
Sub-015,brushing,8,low
Sub-015,origami,5,low
Sub-015,cake,0,low
Sub-016,shrek,8,high
Sub-016,office,9,high
Sub-016,sherlock,7,high
Sub-016,brushing,5,low
Sub-016,origami,6,low
Sub-016,cake,2,low
Sub-017,shrek,8,high
Sub-017,office,7,high
Sub-017,sherlock,6,high
Sub-017,brushing,3,low
Sub-017,origami,2,low
Sub-017,cake,4,low
Sub-018(?),shrek,9,high
Sub-018(?),office,9,high
Sub-018(?),sherlock,4,high
Sub-018(?),brushing,2,low
Sub-018(?),origami,6,low
Sub-018(?),cake,4,low
Sub-019,shrek,10,high
Sub-019,office,10,high
Sub-019,sherlock,10,high
Sub-019,brushing,1,low
Sub-019,origami,3,low
Sub-019,cake,1,low
Sub-020,shrek,7,high
Sub-020,office,8,high
Sub-020,sherlock,10,high
Sub-020,brushing,2,low
Sub-020,origami,1,low
Sub-020,cake,6,low
Sub-021,shrek,8,high
Sub-021,office,9,high
Sub-021,sherlock,1,high
Sub-021,brushing,9,low
Sub-021,origami,3,low
Sub-021,cake,8,low
